mes	dia	anio	salta	lomitas	iguazu	corrientes	posadas	rioja	ceres	paso	sauce	parana	caseros	mendoza	reynolds	rosario	guale	laboulaye	pehuajo	junin	ezeiza	starosa	neuquen	bblanca	esquel	gallegos
1	1	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0.6	3.2	0	6.4	1.2	7	4	0	0	1.5	0	2.9
1	2	1961	0.6	0	0	-99.9	0	0	11.2	0	26.4	25.7	0	0	23.9	4.9	0.1	6.4	0	0	0	0	0	0	0	3
1	3	1961	25.7	0	39	-99.9	30.4	0.8	8.4	0	10.4	5.1	2	0	0	1.4	0.9	0	0	0	0	13	0	0	0	4.6
1	4	1961	0	0.1	0	-99.9	0	0	2.2	0	0.6	6.2	0	0	6	4.9	0	57	0	0	0	0	0	0	0	5.1
1	5	1961	19.2	7.1	58.6	-99.9	61.8	12.6	10.4	22	14.7	14.2	16.8	0	0	11.4	6.8	0	0	0	0	0	0	1.6	0	2
1	6	1961	0	0.1	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	6.7	0	0	11	0	0	0	12.8	0	1.6	0	0
1	8	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5	0	43.2	0	0
1	9	1961	0	0.1	0	-99.9	18.2	0	0.9	4.8	10.6	15.2	0.5	0	0	15.6	18	5.4	29.3	20.9	0	0.3	0	58	0	0
1	10	1961	0	0	17.2	-99.9	63.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.4
1	11	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1	12	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	1.7	0	0	7.4	0.3	0	0	0	0	0	0
1	13	1961	0	0	0	-99.9	0	0	0	0	25.1	67.3	0	0	1	64.6	30.9	2.3	15.6	39.7	82.6	0	0	0	0	0
1	14	1961	0	0	0	-99.9	0	0	0	0	85	109.6	0	0	0	0	3	0	0	0	0	10	0	5	0	20.6
1	15	1961	2.6	0	0	-99.9	0	2.4	61.9	0.5	14.2	16.3	6.7	0	0	5.4	5.7	0	0	0	0	0	0	0	24	3.6
1	16	1961	0	0	0	-99.9	0	0	0	0	4	9.7	0.5	0	9	3	54.8	0	16.2	5.2	19.6	0	0	0	5.4	2
1	17	1961	5.6	0	0	-99.9	2.3	0	0	24.5	0.2	0.1	25.5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	18	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	19	1961	0.6	0	0	-99.9	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1.4	0
1	20	1961	0.8	0	0	-99.9	0	51	97.5	0	50.4	8.8	0	0	0	30.2	7.9	0	0	0	6.8	0	0	0	0	0
1	21	1961	13.6	0.1	9	-99.9	0	0	8.7	18	3.6	7.6	6	0	0	0.1	0	0	0	0	0	0	0	0	0	0
1	22	1961	0.3	16	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30.4	0	0	0	8.6
1	23	1961	0	0	0	-99.9	0	0	0	0	0	0	0	9.8	0	12.8	10.3	1.4	0	1.6	0	0	0	0	0	0
1	24	1961	10	0.2	0	-99.9	0	0	0	0	0	0	0	0	32.2	1.8	0	6.6	0	0	0	0	0	0	0	0
1	25	1961	4.4	0.1	0	-99.9	0	7.2	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
